Day,Time,Load
1,1:00,717.49
2,1:00,651.39
3,1:00,754.89
4,1:00,751.79
5,1:00,722.89
6,1:00,736.09
7,1:00,711.69
8,1:00,731.09
9,1:00,784.39
10,1:00,798.89
11,1:00,804.59
12,1:00,831.69
13,1:00,828.19
14,1:00,777.79
15,1:00,781.29
16,1:00,690.29
17,1:00,550.79
18,1:00,666.89
19,1:00,656.69
20,1:00,616.79
21,1:00,747.59
22,1:00,642.29
23,1:00,751.69
24,1:00,778.39
25,1:00,706.89
26,1:00,757.09
27,1:00,780.19
28,1:00,795.59
29,1:00,811.49
30,1:00,812.99
31,1:00,129.29
1,2:00,707.64
2,2:00,636.34
3,2:00,744.44
4,2:00,746.94
5,2:00,596.24
6,2:00,709.14
7,2:00,716.84
8,2:00,727.64
9,2:00,760.24
10,2:00,780.24
11,2:00,788.74
12,2:00,809.34
13,2:00,783.84
14,2:00,755.54
15,2:00,749.34
16,2:00,662.64
17,2:00,685.64
18,2:00,670.64
19,2:00,626.44
20,2:00,597.34
21,2:00,711.04
22,2:00,627.44
23,2:00,742.74
24,2:00,768.24
25,2:00,720.74
26,2:00,715.34
27,2:00,767.14
28,2:00,771.14
29,2:00,787.64
30,2:00,807.34
31,2:00,0.0
1,3:00,706.44
2,3:00,615.34
3,3:00,729.04
4,3:00,723.24
5,3:00,595.24
6,3:00,730.54
7,3:00,717.84
8,3:00,735.24
9,3:00,728.64
10,3:00,779.24
11,3:00,787.04
12,3:00,795.83
13,3:00,776.24
14,3:00,744.94
15,3:00,750.44
16,3:00,627.94
17,3:00,635.54
18,3:00,649.64
19,3:00,605.94
20,3:00,570.54
21,3:00,687.34
22,3:00,624.14
23,3:00,714.14
24,3:00,764.84
25,3:00,723.34
26,3:00,724.84
27,3:00,761.54
28,3:00,751.24
29,3:00,769.84
30,3:00,810.14
31,3:00,402.24
1,4:00,737.34
2,4:00,623.74
3,4:00,724.74
4,4:00,732.94
5,4:00,595.24
6,4:00,707.44
7,4:00,664.78
8,4:00,738.84
9,4:00,737.74
10,4:00,781.74
11,4:00,796.24
12,4:00,778.34
13,4:00,788.54
14,4:00,751.44
15,4:00,780.84
16,4:00,636.44
17,4:00,692.44
18,4:00,637.94
19,4:00,607.84
20,4:00,566.44
21,4:00,696.04
22,4:00,617.64
23,4:00,714.84
