fy,month,hscode,type,fuel,quantity,value,revenue
2074/75,4,8701.10.10,unknown,defacto,631.0,60270.95,603.38
2074/75,4,8701.10.90,unknown,defacto,48.0,41896.0,1990.39
2074/75,4,8701.20,unknown,defacto,68.0,59602.53999999999,10704.71
2074/75,4,8701.90,unknown,defacto,2.0,1778.12,84.46000000000001
2074/75,4,8702.10.10,bus,defacto,99.0,158940.19,81392.21
2074/75,4,8702.10.20,minibus,defacto,19.0,35147.19,34476.06
2074/75,4,8702.10.30,microbus,defacto,31.0,26071.070000000003,32735.68
2074/75,4,8702.10.90,unknown,defacto,5.0,4936.88,11043.11
2074/75,4,8702.90.10,bus,defacto,2.0,3205.85,1560.0
2074/75,4,8703.21.10,threewheeler,defacto,1109.0,164691.66,205981.0
2074/75,4,8703.21.90,fourwheeler,defacto,187.0,62871.59,139317.44000000003
2074/75,4,8703.22,fourwheeler,defacto,568.0,359065.42000000004,789927.23
2074/75,4,8703.23,fourwheeler,defacto,185.0,199491.69,428537.5
2074/75,4,8703.31,fourwheeler,defacto,58.0,31515.28,69682.27
2074/75,4,8703.32,fourwheeler,defacto,107.0,150966.50999999998,324164.25999999995
2074/75,4,8703.33,fourwheeler,defacto,90.0,59293.98,129227.4
2074/75,4,8703.80.10,threewheeler,bev,319.0,39115.69,3877.4
2074/75,4,8703.80.90,fourwheeler,bev,6.0,20935.23,5306.3
2074/75,4,8703.90.11,fourwheeler,defacto,122.0,6340.07,631.34
2074/75,4,8704.21.10,unknown,defacto,196.0,196176.16,261383.7
2074/75,4,8704.21.20,unknown,defacto,330.0,196583.41,231595.76
2074/75,4,8704.21.90,unknown,defacto,43.0,27289.78,18784.01
2074/75,4,8704.22.99,unknown,defacto,45.0,51024.76,26771.6
2074/75,4,8704.23,unknown,defacto,111.0,203911.86,101832.56
2074/75,4,8704.31,unknown,defacto,2.0,930.15,825.73
2074/75,4,8704.32,unknown,defacto,10.0,9714.07,5096.650000000001
2074/75,4,8704.90.10,unknown,defacto,5.0,14546.82,2885.91
2074/75,4,8705.10,unknown,defacto,2.0,27287.85,6631.01
