year,month,hscode,description,unit,quantity,value,revenue
2078,4,85161000.0,Electric instantaneous or storage water he  ters and immersion heaters,PCS,15183.0,18808.1618208923,4564.981
2078,4,85162100.0,Electric storage heating radiators   .,PCS,1025.0,1457.70571044922,354.951
2078,4,85162900.0,"Electric space heating and soil heating ap  aratus, nes",PCS,6713.0,5983.17511019135,1445.66
2078,4,85163100.0,Electro-thermic hair dryers   .,PCS,6623.10000000149,4265.97560548401,1043.452
2078,4,85163200.0,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,2811.0,1205.01238146973,296.016
2078,4,85163300.0,Electro-thermic hand-drying apparatus   .,PCS,10.0,140.505108642578,34.212
2078,4,85164000.0,Electrical smoothing irons   .,PCS,2873.0,1736.96591156006,419.611
2078,4,85165000.0,Microwave ovens   .,PCS,2008.0,22331.7828067169,5248.949
2078,4,85166011.0,Induction stove,PCS,63.0,85.410130859375,12.205
2078,4,85166019.0,Others,PCS,508.0,276.438424804688,51.625
2078,4,85166020.0,Rice cooker,PCS,18600.0,21219.8603314209,5180.617
2078,4,85166030.0,"Electric Kettle, jug use for boiling water",PCS,68897.0,35120.1131317902,8555.769
2078,4,85166090.0,"Other ovens, cooking plates, boiling rings, grillers & roaster",PCS,1447.0,10910.547801712,2596.318
2078,4,85167100.0,Electro-thermic coffee or tea makers  . .,PCS,552.0,14603.5618344727,3549.834
2078,4,85167200.0,Electro-thermic toasters  . .,PCS,4712.0,5801.15302929688,1405.283
2078,4,85167910.0,Electric insect trap,PCS,2209.0,301.710244140625,73.453
2078,4,85167990.0,Other electro thermic appliances,PCS,54721.0,11456.2638974991,2904.999
2078,4,85168000.0,Electric heating resistors (excl those of   545).,PCS,3338.0,6768.69068746948,1656.681
2078,4,85169000.0,Parts of electro-thermic appliances,PCS,270429.0,8298.33204786682,1556.75
2078,4,87032111.0,Auto rickshaw (three wheeler) <=1000 cc,PCS,384.0,70818.26,60293.16
2078,4,87032119.0,Auto rickshaw (three wheeler) <=1000 cc,PCS,18.0,2583.506,3231.266
2078,4,87032199.0,Other vehicles having capacity <=1000CC,PCS,337.0,307896.9745,680303.509
2078,4,87032210.0,Other vehicle unassembled condition (Petrol engine) capacity >1000CC to <=1500CC,PCS,12.0,15778.247375,36469.164
2078,4,87032290.0,Other vehicle (Petrol engine) capacity >1000CC to <=1500CC,PCS,881.0,815682.519125,1886862.596
2078,4,87032319.0,Other vehicles (Petro engine) >1500CC to <=2000CC,PCS,19.0,61061.7105,150078.614
2078,4,87032329.0,Of a cylinder capacity exceeding 1500cc but not exceeding 3000cc,PCS,5.0,15614.457,41553.463
2078,4,87032490.0,Other vehicle (Petrol engine) capacity >3000CC,PCS,42.0,48754.0879375,22612.16
2078,4,87033190.0,Other vehicle  (Diesel engine) capacity upto 1500CC,PCS,36.0,42898.7678125,94850.814
2078,4,87033219.0,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,84.0,121587.39225,295137.762
2078,4,87033229.0,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,12.0,28126.736,75222.988
2078,4,87033390.0,Vehicles of a cylinder capacity exceeding 2500 cc,PCS,28.0,123334.2725,385207.816
2078,4,87036090.0,Other vehicle (Petrol-Electric hybrid) plug out ABOVE 2000 CC,PCS,1.0,10074.758,18614.188
2078,4,87038011.0,Electric three wheelers vehicles unassembled condition,PCS,40.0,4978.392,1209.816
2078,4,87038019.0,Electric three wheelers vehicles,PCS,188.0,18755.3640546875,4552.383
2078,4,87038029.0,"Electric car, jeep & van upto 100KW",PCS,44.0,139881.48775,33921.336
2078,4,87038059.0,"Electric car, jeep & van > 150KW to <=200KW",PCS,61.0,194047.498,58117.427
2078,4,87021010.0,Bus (with a capacity 26 seats and above) (  iesel or semi diesel engine).,PCS,33.0,58233.840625,19375.963
2078,4,87021020.0,Mini-bus (15 - 25 seats)  . .,PCS,27.0,38490.297,37175.269
2078,4,87021030.0,Ambulance & Sab-Bahan,PCS,3.0,5924.288,59.44
2078,4,87023049.0,"Jeep, car & van with both spark ignition internal combusion (Hybrid) ABOVE 2000 CC",PCS,7.0,27292.563,50426.208
2078,4,87024020.0,With only electric motor for propulsion:,PCS,1.0,5548.4255,784.059
2078,4,87029049.0,"Other Jeep, car & van ABOVE 2000 CC",PCS,5.0,2785.2325,6158.239
2078,4,87112011.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,9907.0,1113004.40710937,987556.991
2078,4,87112019.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,2.0,258.4471328125,0.13
2078,4,87112091.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,19553.0,1649243.42633594,1703339.758
2078,4,87112099.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,1232.0,214145.428328125,251773.185
2078,4,87113090.0,"250 - 400cc Reciprocating Engine Motorbike,Motrcycle",PCS,127.0,33193.134875,43924.349
2078,4,87116010.0,With electric motor for propulsion,PCS,16.0,493.4976875,119.986
2078,4,87116090.0,With electric motor for propulsion,PCS,156.0,9438.8571484375,2293.776
2078,5,85161000.0,Electric instantaneous or storage water he  ters and immersion heaters,PCS,37196.2727279663,31958.7607386856,7820.8240000000005
2078,5,85162100.0,Electric storage heating radiators   .,PCS,942.0,1178.3386249999999,249.78499999999997
2078,5,85162900.0,"Electric space heating and soil heating ap  aratus, nes",PCS,8439.0,8326.429263366652,1955.68
2078,5,85163100.0,Electro-thermic hair dryers   .,PCS,13108.000000000011,4964.657222824099,1245.606
2078,5,85163200.0,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,630.0,416.80009091186,102.39999999999998
2078,5,85163300.0,Electro-thermic hand-drying apparatus   .,PCS,1923.0,790.139090881348,192.015
2078,5,85164000.0,Electrical smoothing irons   .,PCS,7962.0,6667.3343788147,1603.0949999999998
2078,5,85165000.0,Microwave ovens   .,PCS,4013.0,31810.361383514402,7429.751000000001
2078,5,85166011.0,Induction stove,PCS,7227.0,17170.087235351526,2426.3360000000002
2078,5,85166012.0,Infrared stove,PCS,5748.0,12834.5345,1813.59
2078,5,85166020.0,Rice cooker,PCS,49379.0,58865.607618530295,14275.118
2078,5,85166030.0,"Electric Kettle, jug use for boiling water",PCS,83000.0,44695.3469807739,10856.282
2078,5,85166090.0,"Other ovens, cooking plates, boiling rings, grillers & roaster",PCS,4632.0,19890.0590066529,4793.335
2078,5,85167100.0,Electro-thermic coffee or tea makers  . .,PCS,382.0,16155.8563060302,3926.7260000000006
2078,5,85167200.0,Electro-thermic toasters  . .,PCS,8025.0,12704.819279602021,3087.458
2078,5,85167910.0,Electric insect trap,PCS,7755.0,12060.728948242177,2940.04
2078,5,85167990.0,Other electro thermic appliances,PCS,87751.0,27533.167020934998,7203.07
2078,5,85168000.0,Electric heating resistors (excl those of   545).,PCS,24025.2476005554,5459.646503829921,1356.8400000000001
2078,5,85169000.0,Parts of electro-thermic appliances,PCS,861476.0,17442.161376815784,3261.224
2078,5,87032111.0,Auto rickshaw (three wheeler) <=1000 cc,PCS,487.0,90494.05525000002,77418.003
2078,5,87032199.0,Other vehicles having capacity <=1000CC,PCS,491.0,405666.70912499994,896940.472
2078,5,87032210.0,Other vehicle unassembled condition (Petrol engine) capacity >1000CC to <=1500CC,PCS,0.0,0.0,0.0
2078,5,87032290.0,Other vehicle (Petrol engine) capacity >1000CC to <=1500CC,PCS,1403.0,1354394.0365,3132041.1340000005
2078,5,87032319.0,Other vehicles (Petro engine) >1500CC to <=2000CC,PCS,38.0,122729.94387500001,301647.17
2078,5,87032329.0,Of a cylinder capacity exceeding 1500cc but not exceeding 3000cc,PCS,1.0,1930.175000000001,3252.1789999999964
2078,5,87032490.0,Ambulance & Sab Bahan,PCS,68.0,74063.1361875,22866.814
2078,5,87033190.0,Other vehicle  (Diesel engine) capacity upto 1500CC,PCS,129.0,150053.98325,331771.98099999997
2078,5,87033219.0,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,84.0,151673.938375,366680.44200000004
2078,5,87033390.0,Vehicles of a cylinder capacity exceeding 2500 cc,PCS,29.0,133720.06650000002,405090.689
2078,5,87036090.0,Other vehicle (Petrol-Electric hybrid) plug out ABOVE 2000 CC,PCS,0.0,0.0,0.0
2078,5,87038011.0,Electric three wheelers vehicles unassembled condition,PCS,34.0,4307.8857499999995,1046.9489999999998
2078,5,87038019.0,Electric three wheelers vehicles,PCS,149.0,11992.369593750002,2914.8060000000005
2078,5,87038029.0,"Electric car, jeep & van upto 100KW",PCS,27.0,63672.71737500001,15133.325999999994
2078,5,87038059.0,"Electric car, jeep & van > 150KW to <=200KW",PCS,11.0,42650.766250000015,12774.367999999995
2078,5,87021010.0,Bus (with a capacity 26 seats and above) (  iesel or semi diesel engine).,PCS,41.0,77111.44462499999,28241.322000000004
2078,5,87021020.0,Mini-bus (15 - 25 seats)  . .,PCS,25.0,37194.6255,35953.785
2078,5,87021030.0,Ambulance & Sab-Bahan,PCS,0.0,0.0,0.0
2078,5,87022010.0,Buses (with a capacity  more than 25 seats),PCS,10.0,18817.624,9872.848
2078,5,87023010.0,Buses,PCS,22.0,42527.832,22312.667
2078,5,87023049.0,"Jeep, car & van with both spark ignition internal combusion (Hybrid) ABOVE 2000 CC",PCS,12.0,51809.01700000001,95722.871
2078,5,87024020.0,With only electric motor for propulsion:,PCS,0.0,0.0,0.0
2078,5,87024030.0,Microbuses (with a capacity 11-14 seats),PCS,16.0,38997.02,5510.345
2078,5,87029049.0,"Other Jeep, car & van ABOVE 2000 CC",PCS,10.0,5570.239,12315.980000000001
2078,5,87112011.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,8995.0,927759.5375468801,807046.026
2078,5,87112012.0,With reciprocating internal combustion piston engine of 125- 200 CC,PCS,672.0,72439.563,53783.947
2078,5,87112019.0,Motorcycles with reciprocating engine of capacity 200-250cc,PCS,617.0,80970.3713046875,58920.023
2078,5,87113090.0,"250 - 400cc Reciprocating Engine Motorbike,Motrcycle",PCS,720.0,127623.02053125,172455.023
2078,5,87116010.0,With electric motor for propulsion,PCS,0.0,0.0,0.0
2078,5,87119090.0,"Motorcycles and cycles, nes; side cars   .",PCS,6.0,67.610953125,71.439
2078,6,85161000.0,Electric instantaneous or storage water he  ters and immersion heaters,PCS,79229.99999999968,107647.8082584231,24826.32
2078,6,85162100.0,Electric storage heating radiators   .,PCS,211.0,23.707760498049993,5.764999999999986
2078,6,85162900.0,"Electric space heating and soil heating ap  aratus, nes",PCS,25631.0,16120.7929562989,3948.2290000000003
2078,6,85163100.0,Electro-thermic hair dryers   .,PCS,13762.999999999996,3687.95377276609,950.9209999999998
2078,6,85163200.0,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,5963.0,2559.45055627442,630.971
2078,6,85163300.0,Electro-thermic hand-drying apparatus   .,PCS,2853.0,1838.192398437504,476.149
2078,6,85164000.0,Electrical smoothing irons   .,PCS,17837.0,11485.58972137454,2631.398
2078,6,85165000.0,Microwave ovens   .,PCS,3858.0,41367.8904276734,8988.259999999998
2078,6,85166011.0,Induction stove,PCS,1792.0,3814.010468994198,539.0639999999999
