Sub-heading,Description of goods,Import Duty SAARC,Import Duty General
8701,Tractors (other than tractors of 87.09),,
8701.10,Single axle tractors:,,
8701.10.10,"Power tiller, mini tiller",1,1
8701.10.90,Other,5,5
8701.20,Road tractors for semi-trailers::,,
8701.20.10,Upto 18 KW,5,5
8701.20.90, Exceeding 18 KW,5,5
8701.21,With only compression-ignition internal combustion piston engine (diesel or semi-diesel):,,
8701.21.10,Upto 18 KW,5,5
8701.21.90, Exceeding 18 KW,5,5
8701.22,With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion:,,
8701.22.10,Upto 18 KW,5,5
8701.22.90,Exceeding 18 KW,5,5
8701.23,With both spark-ignition internal combustion piston engine and electric motor as motors for propulsion:,,
8701.23.10,Upto 18 KW,5,5
8701.23.90, Exceeding 18 KW,5,5
8701.24,With only electric motor for propulsion;,5,5
8701.24.10,Upto 18 KW,5,5
8701.24.90, Exceeding 18 KW,5,5
8701.29, Other:,,
8701.29.10,Upto 18 KW,5,5
8701.29.90, Exceeding 18 KW,5,5
8701.30,Track-laying tractors,5,5
8701.90,"Other, of an engine power :",,
8701.91,Not exceeding 18 KW,5,5
8701.92,Exceeding 18 KW but not exceeding 37 kW,5,5
8701.93,Exceeding 37 KW but not exceeding 75 kW,5,5
8701.94,Exceeding 75 KW but not exceeding 130 kW,5,5
8701.95,Exceeding 130 KW,5,5
8702,"Motor vehicles for the transport of ten or more persons, including the driver.",,
8702.10,With only compression-ignition internal combustion piston engine (diesel or semi-diesel):,,
8702.10.10,Buses (with a capacity more than 25 seats),30,30
8702.10.20,Minibuses (with a capacity 15-25 seats),30,30
8702.10.30,Microbuses (with a capacity 11-14 seats),30,30
8702.10.40,"Jeep, Car and Van :",,
8702.10.41,Unassembled,80,80
8702.10.49,Other,80,80
8702.20,With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion:,,
8702.20.10,Buses (with a capacity more than 25 seats),30,30
8702.20.20,Minibuses (with a capacity 15-25 seats),30,30
8702.20.30,Microbuses (with a capacity 11-14 seats),30,30
8702.20.40,"Jeep, Car and Van :",,
8702.20.41,Unassembled,80,80
8702.20.49,Other,80,80
8702.30,With both spark-ignition internal combustion piston engine and electric motor as motors for propulsion:,,
8702.30.10,Buses (with a capacity more than 25 seats),30,30
8702.30.20,Minibuses (with a capacity 15-25 seats),30,30
8702.30.30,Microbuses (with a capacity 11-14 seats),30,30
8702.30.40,"Jeep, Car and Van :",,
8702.30.41,Unassembled,80,80
8702.30.49,Other,80,80
8702.40,With only electric motor for propulsion:,,
8702.40.10,Buses (with a capacity more than 25 seats),1,1
8702.40.20,Minibuses (with a capacity 15-25 seats),1,1
8702.40.30,Microbuses (with a capacity 11-14 seats),1,1
